benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s1_2048_sub_2_256_0.o'                     |  O3  runtime:  65.33333333333333   |  RL  runtime:  65.33333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s2_1024_x_b_256_-20.o'                     |  O3  runtime:  118.0               |  RL  runtime:  118.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s2_8192_2_4_z_out_256_10.o'                |  O3  runtime:  153.33333333333334  |  RL  runtime:  153.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s6n_1024_sub_5_256_-20.o'                  |  O3  runtime:  51.666666666666664  |  RL  runtime:  51.666666666666664  |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s6_1024_sub_2_256_-20.o'                   |  O3  runtime:  66.0                |  RL  runtime:  66.0                |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s7_1024_1_256_-15.o'                       |  O3  runtime:  129.33333333333334  |  RL  runtime:  129.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s8n_8192_sub_5_256_-20.o'                  |  O3  runtime:  66.0                |  RL  runtime:  66.0                |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s9n_1024_64_0_z_128_0.o'                   |  O3  runtime:  169.33333333333334  |  RL  runtime:  166.0               |  improvement:  1.02X  |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s9n_16384_16384_3_y_128_0.o'               |  O3  runtime:  381.0               |  RL  runtime:  542.3333333333334   |  improvement:  0.7X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s9n_256_8192_3_z_128_0.o'                  |  O3  runtime:  279.0               |  RL  runtime:  500.3333333333333   |  improvement:  0.56X  |  improvement  geomean  so  far:  0.97X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s9n_512_256_1_z_128_0.o'                   |  O3  runtime:  202.33333333333334  |  RL  runtime:  194.66666666666666  |  improvement:  1.04X  |  improvement  geomean  so  far:  0.97X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s9n_512_64_4_y_128_0.o'                    |  O3  runtime:  170.0               |  RL  runtime:  160.0               |  improvement:  1.06X  |  improvement  geomean  so  far:  0.98X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s9n_64_2048_4_x_128_-5.o'                  |  O3  runtime:  241.66666666666666  |  RL  runtime:  197.0               |  improvement:  1.23X  |  improvement  geomean  so  far:  0.98X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s9n_64_64_2_z_128_0.o'                     |  O3  runtime:  59.333333333333336  |  RL  runtime:  74.66666666666667   |  improvement:  0.79X  |  improvement  geomean  so  far:  0.98X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s9n_64_8192_2_y_128_0.o'                   |  O3  runtime:  246.0               |  RL  runtime:  207.66666666666666  |  improvement:  1.18X  |  improvement  geomean  so  far:  0.98X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s9_2048_64_0_128_0.o'                      |  O3  runtime:  126.33333333333333  |  RL  runtime:  117.33333333333333  |  improvement:  1.08X  |  improvement  geomean  so  far:  0.98X  |
