benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_2_2_input1_result1_256_-15.o'  |  O3  runtime:  405.6666666666667   |  RL  runtime:  405.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_2_2_sa_assign1_256_-15.o'      |  O3  runtime:  412.0               |  RL  runtime:  412.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_2_input1_ia_256_-15.o'         |  O3  runtime:  945.3333333333334   |  RL  runtime:  945.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_in1_assign1_256_-15.o'         |  O3  runtime:  382.3333333333333   |  RL  runtime:  382.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_in1_out1_256_-20.o'            |  O3  runtime:  376.6666666666667   |  RL  runtime:  376.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_sa_result1_256_-15.o'          |  O3  runtime:  390.3333333333333   |  RL  runtime:  390.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_short_a_result1_256_-15.o'     |  O3  runtime:  397.0               |  RL  runtime:  397.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_2_input1_assign1_256_-15.o'   |  O3  runtime:  383.3333333333333   |  RL  runtime:  383.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_2_input1_ia_256_-15.o'        |  O3  runtime:  355.3333333333333   |  RL  runtime:  355.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_2_sa_assign1_256_-20.o'       |  O3  runtime:  367.6666666666667   |  RL  runtime:  367.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
