benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_2_2_short_a_result1_256_-15.o'   |  O3  runtime:  357.3333333333333   |  RL  runtime:  357.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_2_in1_out1_128_-15.o'            |  O3  runtime:  857.3333333333334   |  RL  runtime:  857.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_2_short_a_assign1_128_-20.o'     |  O3  runtime:  852.6666666666666   |  RL  runtime:  852.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_input1_assign1_256_-20.o'        |  O3  runtime:  358.6666666666667   |  RL  runtime:  358.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_input1_out1_256_-15.o'           |  O3  runtime:  369.0               |  RL  runtime:  369.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_2_in1_assign1_256_-15.o'        |  O3  runtime:  321.6666666666667   |  RL  runtime:  321.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_in1_assign1_128_-15.o'          |  O3  runtime:  854.6666666666666   |  RL  runtime:  854.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_in1_ia_128_-5.o'                |  O3  runtime:  863.6666666666666   |  RL  runtime:  863.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_in1_result1_128_-20.o'          |  O3  runtime:  854.6666666666666   |  RL  runtime:  854.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_short_a_out1_128_-20.o'         |  O3  runtime:  851.3333333333334   |  RL  runtime:  851.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_short_a_result1_128_-5.o'       |  O3  runtime:  852.3333333333334   |  RL  runtime:  852.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_sa_result1_256_-20.o'             |  O3  runtime:  323.3333333333333   |  RL  runtime:  323.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_2_2_in1_result1_256_-15.o'      |  O3  runtime:  1411.3333333333333  |  RL  runtime:  1411.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_2_2_short_a_out1_256_-15.o'     |  O3  runtime:  1645.3333333333333  |  RL  runtime:  1645.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_2_2_short_a_result1_256_-20.o'  |  O3  runtime:  1427.0              |  RL  runtime:  1427.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
